customs_office_id,name,country,street_and_address,postcode,city,latitude,longitude
SK100000,FINANČNÉ RIADITEĽSTVO SR,SK,MIEROVÁ 23,815 11,BRATISLAVA,48.1496234,17.1655504
SK500000,Colný kriminálny úrad SR,SK,Bajkalská 24,824 97,Bratislava,49.0225595,21.2307968
SK510000,CÚ - BANSKÁ BYSTRICA,SK,PARTIZÁNSKA CESTA 17,975 90,BANSKÁ BYSTRICA,48.3564296,18.718289
SK516400,BANSKÁ BYSTRICA,SK,Partizánaska cesta 97,975 90,BANSKÁ BYSTRICA,48.7383895,19.1585805
SK517200,LUČENEC NS,SK,PODJAVORINSKÁ 19,984 01,LUČENEC,47.9267827,17.9849513
SK517500,JESENSKÉ,SK,SOBOTSKÁ UL. Č. 204,980 02,JESENSKÉ,48.3041179,20.0733271
SK517700,Zvolen NS,SK,Balkán 53,960 95,Zvolen,48.5689773,19.1122969
SK519000,SCÚ Banská Bystrica,SK,Partizánska cesta 17,975 90,Banská Bystrica,48.3564296,18.718289
SK519200,SCÚ Lučenec,SK,Podjavorinská 19,984 01,Lučenec,47.9267827,17.9849513
SK520000,CÚ - BRATISLAVA,SK,MILETIČOVA 42,824 59,BRATISLAVA,48.1540242,17.1349063
SK523400,Oddelenie špecialných technológií,SK,Staviteľská 7,83104,Bratislava,48.1915468,17.1696783
SK524200,BRATISLAVA - LETISKO,SK,LETISKO M.R.ŠTEFÁNIKA,820 01,BRATISLAVA,48.170844,17.2100407
SK525100,Bratislava - Pošta,SK,Tomášikova 54,83103,Bratislava,48.170123,17.1476088
SK526400,BRATISLAVA - PRÍSTAV,SK,HORÁRSKA 12,821 09,BRATISLAVA,48.1401777,17.142459
SK526500,PCÚ Bratislava - Staviteľská,SK,Staviteľská 7,83104,Bratislava,48.1915468,17.1696783
SK526700,BRATISLAVA Jonáša,SK,J. Jonáša 1,841 07,BRATISLAVA,48.1516988,17.1093063
SK527400,BRATISLAVA MILETIČOVA,SK,MILETIČOVA 42,824 59,BRATISLAVA,48.1540242,17.1349063
SK528000,SCÚ Bratislava,SK,Viedenská cesta 85,824 59,Bratislava,48.1221034,17.064629
SK528400,SCÚ Bratislava - centrála,SK,Viedenská cesta 85,82459,Bratislava,48.1221034,17.064629
SK530000,CÚ - MICHALOVCE,SK,PLYNÁRENSKÁ 4,071 01,MICHALOVCE,48.74306,21.9289515
SK531100,ČIERNA NAD TISOU -ŽELEZNICA A,SK,ŽELEZNIČNÁ 212,076 43,ČIERNA NAD TISOU,48.6806235,20.1111831
SK531102,"ČIERNA NAD TISOU-ŠIROKÝ ROZCHOD ""C""",SK,ŽELEZNIČNÁ 212,076 43,ČIERNA NAD TISOU,48.6806235,20.1111831
SK531103,ČIERNA NAD TISOU - TKD DOBRÁ,SK,ŽELEZNIČNÁ 212,076 43,ČIERNA NAD TISOU,48.6806235,20.1111831
SK531400,MAŤOVCE - ŽELEZNICA,SK,VEĽKÉ KAPUŠANY,079 01,MAŤOVCE,48.5538814,22.0773719
SK532100,VYŠNÉ NEMECKÉ,SK,POŠTA KRČAVA,072 51,VYŠNÉ NEMECKÉ,48.6765666,22.2510793
